scenario	!?\nバ、バルバトス!?	?!\nB-Barbatos?!	translated
scenario	<03:00000000><0B:00000001>{14}{36}{10}{C0}<0B:00000000>ガルド援助してよろしいですか？\nはいはい、ドーンといっちゃってください\nいやいや、ちょっと待てよ	<03:00000000>Provide <0B:00000001>{14}{36}{10}{C0}<0B:00000000> Gald in aid?\nSure, sure, go for it.\nNo, no, hold on.	recover
scenario	<03:00000000><button:00000035>ボタンでジャンプ\n<button:00000036>ボタンでキャンセル	<03:00000000><button:00000035> to jump\n<button:00000036> to cancel	recover
scenario	<03:00000000><num:00002710>ガルド増やす\n<num:00002710>ガルド減らす\n大金持になる\n無一文になる	<03:00000000><num:00002710>Add Gald\n<num:00002710>Subtract Gald\nBecome rich\nBecome penniless	translated
scenario	<03:00000000>{14}{24}{F4}{C0}番目の店で買物\n<button:00000029> : -10  <button:0000002A> : +10\n<button:0000002B> : - 1  <button:0000002C> : + 1	<03:00000000>Shop at store #{14}{24}{F4}{C0}\n<button:00000029> : -10  <button:0000002A> : +10\n<button:0000002B> : - 1  <button:0000002C> : + 1	translated
scenario	<03:00000000>　 次に進む\n　 脱出する\nちょっと待って	<03:00000000>　 Proceed\n　 Escape\nWait a moment	translated
scenario	<03:00000000>　<item:00000031>をあげる\n　<item:00000031>をあげない	<03:00000000> Give him <item:00000031>.\nDon't give him <item:00000031>.	recover
scenario	<03:00000000>　スクリーンチャット\n　ムービー	<03:00000000>　Screen Chat\n　Movie	translated
scenario	<03:00000000>　入れてみる\n　やめる	<03:00000000>　Try putting it in\n　Stop	translated
scenario	<03:00000000>　最終現代\n　第二現代\n　第二未来\n　前のページ	<03:00000000>　Final Present\n　Second Present\n　Second Future\n　Previous page	translated
scenario	<03:00000000>　現代\n　未来\n　改変現代\n　天地戦争	<03:00000000>　Present\n　Future\n　Altered Present\n　Aeth'er Wars	translated
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{25}{DA}{C0}本まとめて買う（{14}{35}{D4}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000> Buy\n<0B:00000001>Buy {14}{25}{DA}{C0} in bulk ({14}{35}{D4}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{25}{EE}{C0}本まとめて買う（{14}{35}{E8}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000>Buy\n<0B:00000001>Buy {14}{25}{EE}{C0} in bulk ({14}{35}{E8}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{25}{FA}{C0}本まとめて買う（{14}{35}{F4}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000> Buy\n<0B:00000001>Buy {14}{25}{FA}{C0} in bulk ({14}{35}{F4}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{26}{3A}{C0}本まとめて買う（{14}{36}{34}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000>Buy\n<0B:00000001>Buy {14}{26}{3A}{C0} in bulk ({14}{36}{34}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{26}{4E}{C0}本まとめて買う（{14}{36}{48}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000> Buy\n<0B:00000001>Buy {14}{26}{4E}{C0} in bulk ({14}{36}{48}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>　買う\n　<0B:00000001>{14}{27}{4A}{C0}本まとめて買う（{14}{37}{44}{C0}ガルド）<0B:00000000>\n　リファイン講座\n　いらない	<03:00000000> Buy\n<0B:00000001>Buy {14}{27}{4A}{C0} in bulk ({14}{37}{44}{C0} Gald)<0B:00000000>\nRefine Guide\nNo thanks	recover
scenario	<03:00000000>あまったのでラスダン中層部\nあまりのでラスダン深層部\nクレスタ\nデュナミス孤児院	<03:00000000>Leftover: Last Dgn Mid\nLeftover: Last Dgn Deep\nCresta\nDunamis Orphanage	translated
scenario	<03:00000000>ここはエクストラダンジョン\n{14}{11}{70}{81}{CA}{C0}週目{14}{21}{26}{C0}階です	<03:00000000>This is the Extra Dungeon.\nLap {14}{11}{70}{81}{CA}{C0}, Floor {14}{21}{26}{C0}.	translated
scenario	<03:00000000>どこへも行きませぬ	<03:00000000>I shall go nowhere.	translated
scenario	<03:00000000>どちらに行きますか？{02}	<03:00000000>Where would you like to go?{02}	translated
